Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
0.5462261272850497,0.2650764488449446,0.0005074963694861492,0.20719366848077433,0.0012485369521906208,0.007502864679785107,0.00010044912396486984,0.5368057116581215,0.00019051089533791792,0.07837223286509991,0.0019498544722362575,0.5327193728071916,0.00029301466047479646,0.10139540037131163,0.002588048849608516,4802740
0.5465917963870102,0.28511868215605723,0.0013565560385691326,0.19491689220095193,0.002146604476381404,0.0714480917176177,0.002263733750591944,0.5276551315054944,0.0014331111197524921,0.10475797309130931,0.005613784103175761,0.5334526478035102,0.0012042114270142468,0.05303659469301971,0.004685170968421609,722718
0.5454440415809114,0.2713470015175574,0.00023446381144698835,0.19849483464194528,0.0010966307031588375,0.006087384701986009,7.909007785480565e-05,0.5366367235885703,0.00017017123202953344,0.09058212129639232,0.001841608210694426,0.5334486280631714,0.00031236328597924855,0.09305832107800346,0.002860254396226536,6482505
0.545786502066652,0.2672952893913629,0.0008044057541978637,0.20827533306240284,0.0015139118049278884,0.01146250178165971,0.00020530467344715564,0.5356996723643962,0.00031234705550832047,0.0935197347483175,0.002843441705677121,0.530503913599532,0.00038202734959002116,0.09992453068019713,0.003100866491855629,2937979
0.5466453786482531,0.27179796178623655,7.364836571263637e-05,0.18158120190872026,0.00024617756583595864,0.0012905734482926967,7.6253574197701805e-06,0.5388327682096181,6.782323662805186e-05,0.09988944526647978,0.0008132933994276188,0.535580692312112,0.00012468410721501376,0.08464063310729368,0.0010879818985720464,37691912
0.5453181912894942,0.27339638268880684,0.00039302535022828347,0.21175037270605088,0.0009883415718436445,0.009288747518833,0.00012053209421675306,0.5353604690470245,0.000238796111391793,0.08522666696710375,0.002425546390609176,0.5329093257869446,0.0002650410028744731,0.07125930852589124,0.002485056412036981,5116796
0.5499116501227128,0.2673278590646843,0.00025012244780848856,0.2088928292465916,0.0010928829019487064,0.016636601755955143,0.0002484313925375031,0.5411243120054827,0.0001520412420913308,0.049214781551490394,0.0017414794645203187,0.5329863391123112,0.00035389174852805205,0.05382859525992823,0.0024354270548138145,3580709
0.5494461219012722,0.2666157340284791,0.0008860566688547238,0.20076114454584648,0.0025513058321674953,0.051594634051140224,0.001477778868799746,0.5405690675972465,0.0005007349886015668,0.05239458872805248,0.004291665243770502,0.5339062389867201,0.0006759922346121153,0.06315794837328567,0.004945063338653034,907135
0.5475515591547001,0.25883130606633326,0.0007201610208369991,0.22862893047422456,0.003378868688958499,0.10963387153313144,0.00480560278684312,0.5383380274025831,0.00036325103063602094,0.04091239288689588,0.003506595360578646,0.517205151358424,0.0005109066864805881,0.09912223821766912,0.006863723339474141,617996
0.5444843078762875,0.2661997049542675,0.00017010686544762348,0.20328068042991024,0.0007437371513090505,0.0020827471979954566,1.9070924273047647e-05,0.5355485685174715,0.00012875763418287927,0.11387826790232902,0.001444304664945475,0.532737254221566,0.0001800179670016467,0.08805401149545732,0.0012021328220175776,19057542
0.5470642852048122,0.2671369972708882,0.00037377462838882514,0.1961483184740525,0.0008839691105988881,0.0040805420024497925,3.171113860501937e-05,0.5362075291173236,0.00017229906393029175,0.10564179998021628,0.001964344509502754,0.5320997256742258,0.0002746984422321127,0.09512958569529764,0.002081501113940481,9815210
0.5541290950314132,0.2779896395206251,0.0006432772430424048,0.18116280118459924,0.001716083257970989,0.03660219067297251,0.0007298331828832338,0.5346462876148466,0.0009382988971477654,0.04216615277767031,0.002508496791725057,0.5389927774389662,0.0006136125312659705,0.05777913758811391,0.003912084661256621,1374810
0.5439487754291559,0.27259087107010266,0.000915552204021838,0.19962464878231764,0.0019865232888020144,0.022415971712760004,0.00042956532521402685,0.5370899221502551,0.00033022185354889737,0.09532958003645757,0.003711361335169054,0.5337063596571309,0.0004413342382335892,0.08386112044339461,0.003734206872207028,1584985
