Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Population
4785298,2322243,4446,1815152,10938,65730,880,4702769,1669,686592,17082,4666970,2567,888290,22673,3785555,4340,11.8,0.4,14.7,0.5,4802740
713985,372436,1772,254610,2804,93329,2957,689249,1872,136840,7333,696822,1573,69279,6120,546981,1582,9.6,0.7,7.2,0.9,722718
6413737,3190700,2757,2334050,12895,71580,930,6310174,2001,1065132,21655,6272686,3673,1094249,33633,4963740,4639,11.8,0.4,12.5,0.5,6482505
2921606,1430837,4306,1114902,8104,61359,1099,2867611,1672,500613,15221,2839798,2045,534898,16599,2290670,4069,9.6,0.4,14.1,0.6,2937979
37349363,18570505,5032,12406475,16820,88178,521,36815569,4634,6824913,55568,36593372,8519,5783043,74336,29159527,10611,12.8,0.1,11.8,0.2,37691912
5049071,2531362,3639,1960585,9151,86004,1116,4956873,2211,789109,22458,4934178,2454,659786,23009,3955676,4325,9.9,0.3,9.4,0.4,5116796
3577073,1738918,1627,1358809,7109,108218,1616,3519913,989,320133,11328,3466977,2302,350145,15842,2862777,2581,10.5,0.4,7.2,0.5,3580709
899769,436608,1451,328765,4178,84491,2420,885232,820,85801,7028,874321,1107,103427,8098,716786,1359,9.3,0.7,8.1,1.0,907135
604453,285729,795,252388,3730,121027,5305,594282,401,45164,3871,570953,564,109423,7577,515434,1028,12.4,1.1,14.1,1.6,617996
18843326,9212548,5887,7035068,25739,72079,660,18534081,4456,3941060,49984,18436788,6230,3047343,41603,15327982,7856,13.3,0.2,12.0,0.2,19057542
9712587,4742754,6636,3482420,15694,72446,563,9519836,3059,1875566,34875,9446906,4877,1688932,36955,7497805,6376,12.6,0.3,13.7,0.4,9815210
1363621,684087,1583,445812,4223,90072,1796,1315677,2309,103764,6173,1326373,1510,142185,9627,1093645,1814,8.1,0.6,7.4,0.8,1374810
1571450,787506,2645,576709,5739,64759,1241,1551635,954,275404,10722,1541860,1275,242272,10788,1187623,2092,10.0,0.6,11.6,0.7,1584985
12843166,6294434,5283,4752857,13579,84494,684,12673245,2432,1745556,26502,12543457,3191,1731711,31915,10084990,6353,11.4,0.2,10.1,0.2,12869259
6490621,3197124,3805,2470905,11185,68429,588,6391470,950,947920,19803,6294417,3609,962775,25003,5070852,4849,10.8,0.3,11.0,0.4,6516922
3049883,1505879,3896,1223439,6610,73114,919,3004885,571,279811,9754,2950251,2192,370507,13924,2409078,3112,6.7,0.3,8.2,0.4,3062309
2859169,1417134,3693,1101658,6952,75190,1123,2804461,1848,389446,12132,2775355,2167,377530,15414,2213226,3704,7.9,0.4,9.5,0.6,2871238
4346266,2140493,4037,1684348,9801,64281,868,4242714,4353,647041,15841,4215643,2986,800226,20902,3437562,4649,11.2,0.4,14.5,0.5,4369356
4544228,2227014,4151,1689822,9615,69092,1024,4440314,1830,790987,18377,4413890,3449,825144,21101,3550438,3921,10.1,0.4,14.5,0.5,4574836
1327567,648889,1474,545417,5576,70473,1390,1313037,991,133065,6281,1293012,1146,167242,7702,1088605,1873,8.3,0.5,8.8,0.6,1328188
5785982,2799597,3400,2127439,8728,104164,1218,5687998,2852,640861,16506,5643821,3530,557140,21050,4596659,3889,8.8,0.3,6.6,0.4,5828289
6557254,3170167,2392,2520419,10488,100712,1111,6478067,1529,285717,13613,6333611,2630,725143,21471,5313877,4329,10.2,0.2,8.2,0.4,6587536
9877574,4848760,3767,3806621,12287,70883,460,9763683,1209,1207384,20391,9656449,3934,1618257,30260,7833379,4426,15.1,0.2,12.1,0.3,9876187
5310584,2635397,3097,2091548,8178,84946,934,5252092,680,476259,13399,5189200,2281,599516,15022,4175262,3180,8.3,0.2,7.5,0.3,5344861
2970036,1441525,4150,1079999,8323,58584,899,2902907,1467,528095,15479,2875594,2515,643883,22452,2302345,3741,12.3,0.4,17.8,0.8,2978512
5996231,2932383,4144,2350628,10288,71266,830,5879864,2130,773894,16408,5817852,2620,888570,21761,4746821,5010,10.0,0.3,10.6,0.4,6010688
990898,499235,2028,402747,4175,67131,1749,975562,1190,168981,7243,964509,2420,140969,9640,794804,1838,7.5,0.5,10.0,1.0,998199
1830429,906540,2253,719304,4689,74215,1303,1802049,954,207653,6981,1776166,2053,229923,11823,1419846,2743,6.6,0.4,8.8,0.8,1842641
2704642,1365498,2352,989811,6963,74278,1376,2668966,1868,603700,15698,2666662,1598,398027,20092,2116850,3082,14.1,0.6,11.1,0.7,2723322
1316759,647349,1875,515431,4523,89864,1732,1302639,468,145013,8709,1276614,1142,105786,8064,1066757,1963,7.8,0.6,5.3,0.6,1318194
8801624,4284049,2455,3172421,11815,106125,959,8693541,1177,1151158,20359,8626524,2857,884789,24939,6987107,4528,10.8,0.3,7.8,0.3,8821155
2065932,1020996,2983,765183,5603,66508,1259,2032699,1222,398558,13759,2024716,1715,413851,19768,1605996,2877,9.5,0.5,15.7,0.9,2082224
19392283,9387534,4174,7196427,16507,91447,742,19134281,2566,2277382,35303,18879810,5820,2821470,46759,15615773,7064,9.9,0.2,11.5,0.3,19465197
9561558,4657156,7691,3670859,14413,69114,665,9360661,4149,1569837,28195,9304553,3703,1627602,29606,7526813,6172,12.7,0.3,13.3,0.3,9656401
674499,343445,1580,280412,3191,75754,1831,660611,725,64535,4630,651415,600,84895,5668,541407,1446,3.9,0.5,7.8,0.8,683932
11536182,5630118,4606,4525066,15956,70653,445,11358640,5507,1398943,26821,11224969,4110,1779032,32237,9136211,6060,11.4,0.2,11.8,0.3,11544951
3761702,1856245,4017,1432959,7544,65945,798,3677206,1908,693551,12664,3646849,2289,616610,15751,2930683,3323,8.2,0.3,12.7,0.5,3791508
3838957,1902185,3522,1507137,8164,71966,941,3799107,882,651504,16257,3765919,2565,596408,17283,3071969,3505,12.7,0.4,11.0,0.5,3871859
12709630,6192105,4822,4936030,14212,79150,575,12506000,1361,1271180,24993,12298955,4096,1648184,29243,10273564,5777,9.6,0.2,9.3,0.3,12742886
1052886,508198,1277,402295,4265,85213,2380,1036743,1079,126184,7290,1012200,827,142188,9018,858137,1846,10.9,0.7,9.2,1.0,1051302
4636312,2253035,4319,1761393,10691,66125,862,4536835,2329,795275,19414,4493865,3196,815755,22461,3675309,4457,12.8,0.4,13.8,0.5,4679230
816463,411170,2367,318955,3470,72270,2066,798141,664,98886,6890,788226,1027,113760,7599,637449,1815,6.0,0.6,9.2,0.9,824082
6356897,3095030,5512,2440663,12796,67011,836,6259546,1957,898561,22130,6195120,3574,1095466,29085,5025830,4883,11.3,0.3,13.4,0.4,6403353
25257114,12531720,7396,8738664,20291,75506,511,24779450,4528,5875474,56139,24652927,7949,4414481,53320,19123208,10217,8.8,0.2,13.8,0.2,25674681
2776469,1397849,2069,880025,4985,75582,1068,2750354,1102,421924,16477,2730176,1935,359242,14693,1987748,2585,9.3,0.4,9.7,0.5,2817222
625960,308172,1012,256922,2727,77453,2123,619886,304,49880,4145,600850,1125,76352,5250,513553,1533,8.1,0.6,8.4,0.9,626431
8024617,3941957,5811,2992732,14604,94262,887,7807416,5241,1020130,21458,7780635,2803,861969,22046,6385834,5154,7.9,0.3,7.7,0.3,8096604
6744496,3358423,3276,2606863,9745,83679,970,6638081,3035,945589,23457,6615922,2965,888718,27270,5342873,4932,10.8,0.3,9.2,0.4,6830038
1853973,913160,2808,741940,5724,60523,1202,1823372,786,266161,10271,1799960,1852,326507,13020,1513633,2854,8.9,0.6,13.2,0.7,1855364
5691047,2826199,3414,2279532,9375,74705,668,5613402,872,529200,13567,5535803,3152,731479,17834,4511968,4201,8.9,0.2,9.1,0.4,5711767
564460,287053,2431,222803,3575,79216,3858,555010,816,82836,5993,551120,851,61577,6480,442306,1965,6.3,0.7,7.2,1.2,568158
3722133,1785266,2651,1319448,9440,32220,655,3695636,871,296939,10199,3685731,1892,1659792,21557,2941092,2747,19.0,0.5,41.2,0.6,3706690
4802740,2324413,5329,1844546,11416,67424,947,4720067,2155,673964,18951,4687363,2037,892483,23804,3808975,4580,11.6,0.4,14.9,0.5,4822023
722718,372916,1425,257330,3380,92339,2831,699272,1868,140660,5748,706860,918,73905,5839,554678,1587,8.8,0.7,6.9,1.0,731449
6482505,3228514,4431,2356055,12130,72602,940,6378280,1787,1095010,27071,6336449,3861,1203501,38097,5044259,4894,11.1,0.4,14.1,0.6,6553255
2937979,1447850,3826,1127621,7837,62656,1213,2885212,1095,492310,14878,2856663,2079,555876,17602,2301244,3020,9.4,0.4,14.9,0.7,2949131
37691912,18750692,4823,12468743,22250,89976,512,37161789,5236,6725604,55430,36941931,7933,6118803,71852,29530797,11281,12.3,0.1,12.4,0.2,38041430
5116796,2569136,4217,1975388,9057,88859,1097,5024885,2530,759619,19088,5002128,3154,674195,21621,4020272,4291,9.3,0.3,9.1,0.4,5187582
3580709,1743795,1891,1351643,7309,110730,1516,3522709,1144,308945,10798,3471802,1406,377856,17034,2874766,3020,10.6,0.4,7.9,0.5,3590347
907135,439918,939,333192,3426,87135,2494,892132,847,83995,6094,882353,1386,104831,8149,726737,1751,8.9,0.7,8.0,0.8,917092
