Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Population
617996,292283,485,268670,3200,123998,6694,608165,325,42007,4759,584583,305,109363,8006,523073,911,11.4,1.0,15.4,1.7,632323
19057542,9321149,7263,7106283,31131,73821,736,18752294,3756,3911381,46513,18652057,5175,3173456,53070,15545512,8368,12.4,0.2,12.4,0.3,19317568
9815210,4808996,7576,3494542,15336,73315,920,9619740,3609,1882758,36920,9550271,4699,1827743,40709,7601219,8730,12.2,0.3,14.7,0.5,9919945
1374810,688600,1358,448563,5562,89653,2042,1326065,2252,94399,6265,1338543,1297,161290,12291,1102147,1954,7.7,0.6,8.6,0.8,1392313
1584985,794914,2358,580193,6204,65418,1719,1565645,611,259094,11422,1550082,2866,255027,13229,1200681,3114,10.0,0.6,11.6,0.8,1595728
12869259,6309308,4694,4737208,12865,85709,747,12688006,1765,1659275,29383,12566914,3774,1879965,34757,10141680,6304,11.0,0.2,11.0,0.3,12875255
6516922,3206430,4000,2467111,11107,70821,815,6417644,1247,930829,21794,6318942,3376,1011017,27152,5103069,4944,10.0,0.3,11.7,0.4,6537334
3062309,1512251,2950,1216765,7072,76038,1045,3017465,552,269490,9670,2963602,1740,378864,12247,2421011,3103,6.0,0.3,8.1,0.4,3074186
2871238,1423188,2574,1101701,5567,77467,1134,2813530,1400,354630,12779,2786855,2238,383467,13367,2225751,3115,7.4,0.4,9.2,0.5,2885905
4369356,2143745,4175,1672134,9367,66779,1049,4284357,1582,618458,14729,4238283,2995,811277,24336,3456598,3847,10.4,0.4,14.7,0.6,4380415
4574836,2236117,4028,1702030,9725,69722,1048,4473068,1771,784015,17351,4445400,3107,908375,21304,3583570,4367,9.3,0.3,16.1,0.5,4601893
1328188,651076,1884,552051,5238,72893,1755,1314121,520,140165,6842,1291650,1998,182448,8462,1089885,1856,8.6,0.6,9.3,0.7,1329192
5828289,2820212,3160,2134517,9936,105683,1178,5736588,2191,598444,19787,5685412,3670,571887,19719,4642826,4508,8.9,0.3,7.1,0.4,5884563
6587536,3187794,2018,2532067,9349,103250,1378,6507596,1342,276940,14137,6367148,1879,738514,23459,5359592,3718,9.3,0.2,8.3,0.4,6646144
9876187,4848677,3272,3772433,14208,73707,508,9762306,764,1149911,21410,9656260,2885,1693294,28336,7865213,5063,13.1,0.2,12.5,0.3,9883360
5344861,2656471,3274,2096477,7824,87875,801,5286728,677,467433,12099,5222556,2179,621970,17360,4210464,3741,7.7,0.2,7.6,0.3,5379139
2978512,1446634,4222,1080991,8431,60294,1100,2911811,1630,516413,15343,2884215,2100,650524,20706,2310003,3469,11.3,0.5,17.4,0.7,2984926
6010688,2945756,4369,2341074,10807,73106,949,5898968,1584,807414,19295,5831530,3022,920118,22609,4759907,4929,9.4,0.3,11.5,0.4,6021988
998199,500311,1724,404250,4567,67968,1699,983214,886,179575,6919,974025,1203,144054,8962,801174,1878,7.9,0.7,9.7,0.8,1005141
1842641,912496,2903,723800,4514,78949,1832,1814388,1030,207094,7849,1789275,1651,234710,10211,1431287,2282,6.3,0.4,9.1,0.6,1855525
2723322,1372750,2376,982352,9598,73824,1806,2686989,2047,588794,20346,2684536,3072,426741,20552,2134503,3210,12.7,0.6,11.9,0.7,2758931
1318194,651060,1847,516454,4150,92679,2182,1303868,471,136922,5971,1279118,1056,112715,8386,1074254,1725,6.9,0.5,5.6,0.6,1320718
8821155,4298542,2384,3167629,9918,107202,939,8712982,1438,1139104,22722,8646606,2810,897376,24537,7022123,4485,10.9,0.3,7.8,0.3,8864590
2082224,1036558,2872,767285,6715,68653,1924,2047242,1765,406184,13699,2042530,1334,439914,17336,1619737,2662,11.2,0.6,16.6,0.9,2085538
19465197,9438007,3858,7187938,18167,92816,789,19208419,2296,2195349,32685,18954044,4586,3027342,42152,15705551,6961,9.6,0.2,12.3,0.2,19570261
9656401,4687843,7014,3683364,19202,71787,748,9461018,4189,1544907,30348,9406091,3155,1680963,36728,7616397,7152,11.7,0.4,13.2,0.4,9752073
683932,343944,1591,283440,2528,80808,2320,669425,795,65448,4530,660473,614,80882,5567,550330,1500,3.1,0.4,7.9,0.9,699628
11544951,5641528,4404,4538555,15280,73455,597,11369102,1441,1354431,24533,11234071,3988,1845800,35067,9166035,5623,10.4,0.2,12.0,0.3,11544225
3791508,1877843,3361,1442731,7338,69167,853,3710368,1361,693545,15014,3678924,1966,633298,18126,2956839,3124,7.5,0.3,12.8,0.5,3814820
3871859,1914116,3146,1516979,8379,73674,1087,3832640,865,602377,15251,3794213,3419,662283,20527,3108463,3794,12.0,0.5,11.9,0.5,3899353
12742886,6216838,4073,4937333,13801,81003,541,12539757,1068,1264548,23247,12328566,3511,1695996,36138,10323889,5696,9.4,0.2,9.6,0.3,12763536
1051302,508396,1139,412259,3948,86521,2483,1035117,804,111834,7182,1009941,1191,148819,8909,858706,1755,10.3,0.7,10.6,0.9,1050292
4679230,2274282,4993,1768834,12783,67326,994,4579231,2414,766304,19103,4538298,2536,856938,22008,3715023,4717,11.9,0.5,14.3,0.5,4723723
824082,410505,2116,323215,3255,73401,1889,805505,1055,95908,5030,794872,1326,110681,6608,644425,1458,5.5,0.6,9.6,1.1,833354
6403353,3118951,5288,2467428,12592,68946,830,6302351,2349,922650,18803,6246380,2905,1142299,29429,5082309,5926,10.6,0.3,13.7,0.5,6456243
25674681,12741162,7835,8850370,21114,78360,569,25197453,4761,5789846,58601,25071125,8108,4628758,63020,19455689,11306,8.5,0.2,14.4,0.3,26059203
2817222,1417639,2703,884253,5722,77561,1246,2789648,1314,426064,14912,2771344,2149,374859,19403,2020485,3562,8.0,0.4,10.4,0.6,2855287
626431,308393,1059,257358,2656,80872,2272,620159,306,41209,3238,601236,821,69075,4730,516096,1359,6.4,0.5,6.9,0.8,626011
8096604,3978779,6842,2990650,13887,97107,881,7887164,4700,982861,20253,7854282,3214,905914,25152,6449833,5424,7.6,0.2,8.2,0.3,8185867
6830038,3408061,4042,2632621,9876,86290,914,6716822,3208,952630,19050,6687073,3909,929258,23388,5434028,4677,10.3,0.3,9.4,0.3,6897012
1855364,914474,3200,735408,6147,64488,1847,1826485,271,272287,10237,1802655,2209,334885,13958,1513146,2776,8.9,0.5,13.7,0.7,1855413
5711767,2835132,3485,2275352,8388,77531,742,5634063,895,506674,13395,5554349,4117,725797,20946,4543816,3453,8.2,0.3,8.8,0.3,5726398
568158,289416,1930,222539,3310,79554,2909,558832,750,85831,6032,554314,926,62629,5598,446044,1592,5.1,0.7,7.9,1.2,576412
3706690,1770224,2797,1256151,8804,32063,705,3680339,638,280641,12928,3672090,1830,1673610,27123,2942799,3081,18.5,0.5,41.7,0.8,3667084
4822023,2336291,3772,1845169,11483,68525,778,4741698,1677,632499,16621,4706978,2160,892564,20244,3825109,3670,10.0,0.4,14.7,0.4,4833722
731449,381094,1702,251651,2883,95924,2726,708946,1546,145288,7233,715608,613,72400,5190,564238,1510,7.8,0.7,7.5,0.8,735132
6553255,3260687,2638,2392168,11611,74275,834,6443654,1631,1130959,26823,6401273,3092,1194506,25758,5110763,4329,9.8,0.2,13.6,0.4,6626624
2949131,1449265,3205,1143859,7351,64235,1074,2896297,1039,476310,10579,2865098,2160,568065,16759,2312234,3954,8.4,0.4,14.6,0.6,2959373
38041430,18917773,4374,12552658,18433,91046,430,37524274,5678,6709586,51970,37303266,7131,6325319,64334,29884983,9480,11.4,0.1,12.9,0.2,38332521
5187582,2601370,3232,1996088,8553,90152,1046,5094766,2656,751244,19632,5069071,2557,694842,20406,4085464,3556,7.8,0.3,9.3,0.4,5268367
3590347,1749806,1927,1357812,6453,114025,2169,3534619,1149,321972,11233,3484178,1411,372390,14270,2893530,2554,9.7,0.4,7.9,0.5,3596080
917092,444691,881,340308,3122,86132,1979,902915,849,79894,5924,890738,1221,107307,7877,734481,1457,8.8,0.8,8.2,0.9,925749
632323,299036,318,266662,3138,129347,6674,621380,727,36854,3393,598151,630,108732,7746,533647,871,10.3,1.0,13.9,1.3,646449
19317568,9441001,6373,7197943,25102,75292,582,19011070,3625,3815840,36143,18912479,5600,3238581,49032,15784363,7462,11.5,0.2,12.6,0.3,19552860
9919945,4851053,6551,3532908,15691,75450,679,9719411,3607,1792319,29647,9652596,3256,1848533,37552,7692523,6384,11.0,0.2,15.0,0.4,9992167
1392313,701196,1123,447748,4282,92346,1682,1341708,2427,92338,5916,1356822,1094,157243,9661,1122846,1678,7.1,0.4,8.6,0.7,1404054
1595728,798712,2934,583106,5317,67369,1625,1575682,687,254743,9166,1565511,1631,248494,13813,1216830,2078,8.0,0.6,11.7,0.9,1612136
12875255,6316653,4276,4770194,13140,88826,686,12698371,1130,1622465,21898,12573676,4182,1850562,32138,10169058,5273,10.2,0.2,10.9,0.2,12882135
6537334,3217145,3678,2480077,10833,72072,633,6437142,986,919866,19760,6342423,3178,990325,21187,5126773,5171,8.8,0.3,11.3,0.3,6570902
3074186,1524107,3514,1227048,6132,77465,867,3028864,500,254275,9879,2974225,2122,377484,13405,2430288,3398,5.3,0.2,8.8,0.5,3090416
2885905,1434617,2912,1113911,5555,79648,1230,2825416,2092,355564,9981,2802207,2002,391734,12565,2242491,2982,6.5,0.3,9.3,0.5,2893957
4380415,2154939,3541,1707004,8109,67293,771,4292718,1736,595460,14279,4247103,3119,823197,22937,3470977,3017,9.3,0.3,14.8,0.5,4395295
4601893,2248888,4274,1719473,9205,71928,1022,4498884,1484,759627,16436,4471142,2830,891981,23215,3603962,3513,8.8,0.3,15.5,0.6,4625470
1329192,650714,1896,554543,4451,73506,1407,1315703,427,134709,6886,1293457,1275,189786,9666,1096245,1715,7.6,0.4,9.8,0.7,1328302
5884563,2849291,2636,2157717,7667,108034,959,5788196,2269,597554,15822,5744445,2780,590803,19639,4697087,3185,8.3,0.2,7.3,0.4,5928814
6646144,3219753,2324,2522394,9088,107088,1171,6566851,897,254295,11033,6414762,2601,762645,18273,5416163,3572,8.5,0.2,8.5,0.3,6692824
9883360,4851429,3886,3819068,10789,75349,529,9772550,789,1114321,15031,9663760,3870,1685178,30444,7897753,4903,11.3,0.2,12.6,0.3,9895622
5379139,2670741,3022,2111943,6274,91409,909,5319783,751,424662,11361,5257443,1790,598371,17622,4242762,3554,6.3,0.2,7.6,0.3,5420380
2984926,1442072,3816,1090521,7826,61606,1211,2918405,1292,497510,10565,2890890,1973,698252,22688,2320405,3063,11.3,0.5,19.2,0.8,2991207
6021988,2953591,4454,2359135,11280,73351,818,5908769,1421,801380,18914,5838008,3872,947792,20935,4776269,4782,8.6,0.3,11.7,0.4,6044171
1005141,503458,1842,408938,3977,73329,2007,989823,845,178412,5944,980594,1227,152199,8004,809850,1787,7.2,0.6,10.2,0.8,1015165
1855525,923099,1803,733570,4667,77606,1039,1826832,904,205607,8316,1800904,1635,233973,10768,1442595,2159,5.3,0.3,9.1,0.6,1868516
2758931,1391864,1827,1006605,7913,74437,1495,2723965,1559,603425,16624,2718565,3392,446840,19216,2167405,2508,12.3,0.4,12.6,0.7,2790136
1320718,648288,1796,519137,4650,94164,1843,1306026,548,138842,7993,1280027,1345,128466,10865,1079792,2010,6.5,0.5,6.7,0.8,1323459
8864590,4321436,2448,3198799,8893,109594,1057,8756542,1146,1112809,27126,8691673,2911,934943,22315,7077678,4443,10.1,0.2,8.2,0.3,8899339
2085538,1034877,2603,764996,5964,67081,1309,2051805,1427,377986,9943,2044778,1740,426245,13843,1627551,2682,10.3,0.6,16.8,0.8,2085287
19570261,9485872,4452,7238922,16375,94367,727,19316728,2028,2102909,29752,19064064,4156,3025016,36603,15822629,6465,9.2,0.1,12.2,0.2,19651127
9752073,4751047,5464,3731325,14347,72572,693,9552529,3461,1582240,26207,9498993,3156,1713132,31019,7720907,6128,10.8,0.3,13.4,0.3,9848060
699628,357591,1433,290944,2708,88627,2503,684776,917,68524,4779,674852,714,75703,4270,561051,1543,3.3,0.5,7.0,0.7,723393
11544225,5642634,4379,4554672,11606,75603,681,11371766,1352,1304247,21906,11227482,4488,1824628,28992,9196303,5312,9.1,0.2,12.0,0.3,11570808
3814820,1889807,2673,1446667,5298,70924,1147,3733058,1692,685076,11567,3699653,1970,637429,14041,2975401,2753,6.8,0.2,13.1,0.4,3850568
3899353,1932789,3361,1516957,7216,75817,1061,3860452,927,576009,16819,3826398,2672,658359,22218,3136866,3726,11.0,0.4,12.1,0.6,3930065
12763536,6229333,3651,4958249,11531,83372,548,12559315,1121,1224649,20104,12353867,3236,1693285,30788,10366567,4621,8.9,0.2,9.5,0.3,12773801
1050292,506835,1355,413083,3010,88306,2360,1034895,650,114865,6125,1010449,885,138907,8499,860108,1511,9.4,0.6,9.2,0.8,1051511
4723723,2295781,4676,1787340,9096,68699,871,4623171,2221,778181,18715,4585454,2040,837770,22603,3761993,4081,11.2,0.4,14.1,0.5,4774839
833354,417803,1674,323765,3111,75013,2042,816425,682,94133,5097,804310,815,107846,5355,652501,1351,4.7,0.4,8.6,0.8,844877
6456243,3144756,4329,2480090,11146,70434,806,6354629,2073,882120,20014,6295994,3016,1129330,27122,5131838,4951,9.5,0.3,13.7,0.4,6495978
26059203,12945218,7615,8970959,21541,80319,489,25584499,3960,5762358,53910,25450518,6257,4562352,58642,19828118,11388,8.0,0.1,14.0,0.2,26448193
2855287,1435028,2086,895691,5044,79892,1302,2829001,909,409171,14030,2806020,2814,360017,18926,2054876,2260,6.8,0.4,9.6,0.7,2900872
626011,309184,980,258520,2853,82408,2045,619928,318,40053,3029,601611,741,71084,4549,518107,1230,6.4,0.6,7.4,0.8,626630
8185867,4015045,6243,3038967,13344,97987,690,7973466,4199,999735,20819,7936903,2853,931805,22863,6541339,5175,6.9,0.2,8.6,0.3,8260405
6897012,3441429,2785,2636817,10074,88769,829,6793078,2904,944771,20524,6761934,3299,915278,30419,5486401,3593,8.7,0.3,9.3,0.4,6971406
1855413,911681,2937,741544,5473,64479,1347,1826512,259,263809,8531,1801131,2144,320055,13000,1513215,2078,8.0,0.5,12.9,0.7,1854304
5726398,2842737,3446,2288362,8293,79660,743,5652085,607,505998,13496,5573134,3298,737356,16981,4562954,3541,7.3,0.2,8.9,0.3,5742713
576412,292736,1854,223513,2812,80488,2561,567082,836,87084,5765,561445,1473,71019,6087,453994,1417,5.6,0.7,8.5,1.0,582658
3667084,1757273,2739,1263694,9111,32805,674,3641762,450,263111,11071,3633892,1704,1632533,27010,2924775,3112,17.3,0.6,40.6,0.8,3615086
4833722,2341869,4937,1822439,11200,70447,900,4755381,1814,645435,16823,4716105,2548,883371,20758,3845555,4919,9.6,0.4,14.3,0.4,4849377
735132,386404,1948,246015,2720,101544,3206,712248,1963,131986,7152,718359,1166,67016,4778,565724,1639,8.7,0.7,5.9,0.6,736732
6626624,3298086,2142,2400809,11557,76117,1010,6521226,1734,1118186,24489,6477191,3417,1206460,32132,5191686,4130,8.9,0.3,13.6,0.4,6731484
2959373,1461544,4406,1125899,6925,65578,1061,2907014,1233,464950,13520,2873340,3117,565469,16418,2325168,3559,8.1,0.4,14.5,0.6,2966369
38332521,19072246,4878,12650592,16944,95232,490,37831553,5167,6500179,57140,37593091,8648,6328824,64631,30209117,10041,10.0,0.1,12.6,0.2,38802500
5268367,2645976,3935,2002800,8550,93036,1023,5173272,2685,729188,17591,5151461,2077,667446,21463,4154394,4759,7.0,0.3,8.7,0.4,5355866
3596080,1751883,2326,1339860,7005,118345,2037,3541409,1156,332503,14330,3485353,2242,373900,14722,2908882,2529,9.3,0.4,7.6,0.4,3596677
925749,447789,1076,339071,3144,89016,2278,911502,1114,83284,5969,900322,1123,111327,9589,742125,1353,8.6,0.7,8.5,1.0,935614
646449,306147,576,271651,3228,126862,6095,635833,581,42295,3751,611788,780,115551,7400,545434,907,10.4,0.8,15.7,1.5,658893
19552860,9565609,6671,7211584,26752,76713,603,19245127,3839,3852963,43064,19129950,7199,3253333,61090,15996701,8104,9.7,0.2,12.4,0.3,19893297
9992167,4879034,7527,3546965,15286,77789,740,9800887,3675,1846305,29601,9720914,4997,1843768,35778,7779840,6627,10.3,0.3,14.5,0.4,10097343
1404054,710917,1599,450120,4406,97904,2151,1345168,3281,90755,5676,1367662,1488,148368,10323,1128541,1830,6.1,0.5,7.1,0.7,1419561
1612136,810879,2561,588489,5467,70027,1571,1592172,685,257475,12196,1582911,1262,246550,15129,1229288,2596,7.2,0.6,10.4,0.8,1634464
12882135,6326778,4846,4783421,13914,92356,781,12704616,1398,1618204,26639,12576680,3928,1845393,34145,10205949,5626,9.5,0.2,10.8,0.3,12880580
6570902,3228884,4840,2498395,10688,74596,907,6471551,786,902911,18953,6367890,3100,1015127,24249,5158420,4053,7.8,0.2,11.9,0.4,6596855
3090416,1528770,3597,1236209,7287,82025,1235,3045284,750,247717,8562,2991670,1604,379127,13393,2448772,3103,4.8,0.2,8.1,0.4,3107126
2893957,1440481,3429,1113729,6143,82863,1823,2836733,1635,348097,11646,2811722,2188,393358,17298,2251143,2937,5.9,0.4,9.6,0.6,2904021
4395295,2163067,4037,1705623,9376,70000,1057,4312100,1403,616448,14144,4266556,2510,800635,19947,3491773,4249,8.4,0.3,14.5,0.4,4413457
4625470,2256464,4818,1728149,9677,74454,1034,4522910,1435,751323,16791,4494989,2903,888019,24140,3635318,3786,8.0,0.3,15.3,0.5,4649676
1328302,649994,1818,547686,5711,74950,1653,1314191,575,147015,7214,1293827,1147,180639,8805,1100185,2405,6.9,0.5,9.6,0.8,1330089
