Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
6811779,3305817,2430,2579398,8290,122310,1247,6736017,1301,171059,10434,6574249,2698,686597,20435,6859819
9928300,4883220,3044,3884153,13696,87436,686,9818099,823,526990,13966,9702321,3906,1451936,23392,9962311
5519952,2747946,3202,2148725,7378,104507,1185,5462438,681,224946,9838,5396363,2285,533276,15913,5576606
2988726,1440934,5584,1091245,8803,69954,1289,2924168,1457,346181,12277,2892894,2014,602768,21320,2984100
6093000,2994651,4432,2372190,10844,84680,1061,5977199,1793,531923,14293,5911040,3431,826954,22623,6113532
1042520,526023,2537,416125,4426,85935,2533,1027510,634,83416,5613,1018105,1144,135638,7800,1050493
1907116,950124,2703,747562,4452,91006,1570,1877654,1048,160563,9069,1851069,1911,211453,10293,1920076
2940058,1473153,2014,1055158,6433,84294,1562,2905767,1083,330418,13329,2896888,3250,399420,18626,2998039
1334795,664722,1972,520643,5191,107498,2150,1316467,851,77677,5824,1292255,1106,94289,7685,1342795
8944469,4370211,2131,3194519,10274,123820,1070,8837578,1301,704970,18842,8769487,3021,915913,28791,9005644
2081015,1030224,3062,758364,6296,75682,1910,2046001,1490,187689,10467,2039449,1699,404463,15353,2088070
19745289,9582050,4460,7209054,17665,109325,848,19505596,2238,1182694,26368,19230198,5205,2832824,38578,19849399
10146788,4933381,6593,3882423,16063,83110,935,9957830,4137,1038399,21012,9886033,3818,1521880,32197,10273419
757953,390181,2294,315134,3356,96337,2834,741486,1317,52138,4753,731759,1407,78464,6184,755393
11614373,5691600,5306,4624669,14929,85971,764,11439848,1446,643728,17556,11287401,5000,1645382,32693,11658609
3923561,1943273,2726,1469342,7193,79317,1036,3845697,1477,529658,12674,3809431,1956,620377,15205,3930864
4093465,2026038,3925,1571678,6691,91056,1204,4054353,734,252766,10000,4016520,2426,536146,18071,4142776
12784227,6262870,4620,4937771,13721,93966,647,12579422,1164,708477,20901,12368256,3787,1592045,30765,12805537
1056426,511358,1550,408239,4139,98328,2922,1040259,649,44966,4753,1015892,798,129932,9143,1059639
4961119,2405343,4669,1877887,10574,80819,1262,4861188,2481,485906,13757,4820419,2587,735960,23271,5024369
865454,435668,1995,334003,3659,85597,2725,848774,457,74218,4469,837292,989,110962,6706,869666
6651194,3247058,5229,2556332,11690,80669,948,6546914,2577,592310,15675,6489032,3408,1023177,25829,6715984
27862596,13830953,9002,9535612,20125,91361,535,27386023,4419,4545380,55376,27236443,6495,4261337,60018,28304596
3051217,1538145,2539,943147,4975,92548,1414,3024767,1289,264807,11807,3004148,2144,306902,15189,3101833
624594,307874,1372,254851,2815,92503,2938,618622,345,22994,2434,600077,990,71329,5685,623657
8411808,4135485,5825,3120692,13161,110321,1002,8199576,4534,714884,21273,8158241,3830,896440,28235,8470020
7288000,3639726,3669,2768076,8506,105101,1208,7184110,3147,428092,14567,7156306,2413,805691,22400,7405743
1831102,900913,3026,722125,5656,71880,1493,1802572,374,95882,6169,1779919,1541,319063,13661,1815857
5778709,2872921,3718,2326998,7745,90361,905,5706681,824,300206,9992,5628565,2951,661565,19715,5795483
585501,298205,2006,223619,4088,88958,3063,576027,635,66513,5910,571169,936,64663,5547,579315
3411307,1625567,3242,1208438,9900,35235,850,3384148,818,208181,10502,3379483,1634,1469382,26573,3337177
4874747,2359896,5397,1841665,12421,79810,1098,4793512,2005,448926,16295,4752560,2493,802656,24897,4887871
739795,385776,2177,250741,3074,104901,3339,716178,2175,97796,6010,720472,1555,80012,7303,737438
7016270,3487722,3229,2552972,11005,89647,891,6908121,2138,694790,20212,6856067,3981,1018935,28419,7171646
3004279,1479682,4363,1153082,8560,76134,1261,2949305,1321,231802,10148,2916321,2511,478365,17030,3013825
39536653,19650051,4631,13005097,17539,113488,642,39046835,5485,2796589,34155,38793027,8845,5160208,71947,39557045
5607154,2820169,3314,2139207,8774,109022,1369,5514070,3163,414077,13107,5483104,3121,564312,17223,5695564
3588184,1750647,2313,1356762,6513,129913,2323,3536522,1187,193796,11947,3482584,1446,334128,18741,3572665
961939,465510,1455,357937,4266,101186,3321,947259,967,51243,5335,934947,1486,126986,9341,967171
693972,329078,543,281475,3302,155436,6125,683808,611,26011,4044,660642,544,109920,7135,702455
20984400,10254267,6257,7689964,22835,88588,675,20678704,3256,2676147,42715,20569920,5871,2889506,57828,21299325
10429379,5070721,7009,3745074,16431,91908,902,10241594,3158,1375176,29378,10154747,5504,1517702,49244,10519475
1427538,716350,1229,458078,4221,111297,2171,1373202,2427,52827,4819,1388550,1566,132549,8537,1420491
1716943,862720,2562,625135,5980,82950,2352,1695273,1260,172013,8725,1686491,1808,216309,12513,1754208
12802023,6294900,4043,4808672,14430,105077,719,12620126,1888,859257,23449,12503720,3612,1569753,35647,12741080
6666818,3286152,4731,2557299,10669,85034,954,6568434,898,536399,17726,6463636,3761,871247,27337,6691878
3145711,1562265,3423,1257505,6773,91680,1305,3102179,690,146017,7768,3044685,1941,326636,11546,3156145
2913123,1452573,3593,1128983,6821,91517,1402,2855454,1638,249392,10709,2827376,2621,336487,14398,2911510
4454189,2194850,3942,1725034,10346,80079,1027,4370940,1538,235227,12398,4316917,3015,744239,20861,4468402
4684333,2289695,5223,1737123,11255,79996,1129,4580258,1767,382649,13089,4553037,2611,899039,27219,4659978
1335907,654763,1582,540959,6050,89287,2232,1321649,577,107067,6271,1301216,1023,144012,7961,1338404
6052177,2935822,3231,2207343,8135,123678,1277,5957871,2105,365597,14876,5915309,2385,549171,21371,6042718
6859819,3333270,2435,2604954,9148,127223,1385,6785622,1021,189801,9570,6622444,3515,692201,22499,6902149
9962311,4907242,3801,3930017,12926,90138,716,9853156,970,509539,14890,9730205,4206,1377766,28586,9995915
5576606,2780714,3477,2162211,7968,109540,1140,5519199,675,242509,10683,5450582,2783,517476,15252,5611179
2984100,1446473,5342,1091980,9693,71819,1429,2920808,1463,351754,14730,2889851,1968,571219,15607,2986530
