Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Population
7174064,3564979,458,2643430,6290,97003,632,7065326,1073,747778,10488,7012999,3053,990528,12842,7276316
3011873,1478511,1045,1170544,4411,82767,937,2957271,617,245980,6368,2923585,981,470190,8038,3025891
39346023,19562882,1263,13103114,18542,124332,420,38838726,2943,2806173,25337,38589882,3672,4853434,39919,39237836
5684926,2862153,1020,2137402,4703,119073,762,5588760,1549,436261,8774,5563823,1118,544232,9500,5812069
3570549,1741688,351,1385437,3268,139506,1149,3520172,636,179066,5209,3466935,787,339156,7695,3605597
967679,467720,160,370953,1823,107809,1562,951930,591,55571,2589,941266,610,107641,4332,1003384
701974,333137,82,288307,1319,173874,3283,692059,308,25288,2216,669089,488,103391,3390,670050
21216924,10374594,1559,7931313,23200,96492,477,20897188,2259,2646931,30747,20793628,2956,2772939,26520,21781128
10516579,5113936,1996,3830264,8096,99832,621,10321846,1943,1345294,18300,10238369,2300,1461572,17326,10799566
1420074,712250,139,467932,1883,120352,1396,1365172,1146,52807,2060,1381577,840,127971,4297,1441553
1754367,879763,828,649299,2233,90514,1202,1732106,482,179490,4958,1722972,837,205676,5392,1900923
12716164,6247083,1174,4884061,8585,113734,540,12536614,809,854433,11628,12418504,2377,1488670,18242,12671469
6696893,3300350,1169,2602770,6793,91731,512,6597701,479,528176,8136,6491632,2169,838149,12468,6805985
3150011,1564436,886,1273941,4037,97161,746,3106492,378,145633,4397,3051284,1014,339090,6616,3193079
2912619,1451919,981,1141985,4096,99062,646,2853649,983,249223,4852,2828498,997,323644,6562,2934582
4461952,2196522,1182,1748053,5379,85749,645,4379339,598,246078,6514,4322881,1527,717895,10991,4509394
4664616,2276932,1257,1751956,5502,88371,849,4556953,1047,395259,7262,4532187,1504,845230,12732,4624047
1340825,656628,454,569551,2285,94310,1087,1325025,382,101045,3461,1304038,705,144384,3764,1372247
6037624,2925644,681,2230527,4131,133817,838,5938200,1496,352186,7399,5894835,1643,531553,8805,6165129
6873003,3335992,464,2646980,4188,139154,876,6800682,668,185687,5381,6637329,1307,653454,10187,6984723
9973907,4911965,885,3980408,8401,97175,425,9866076,502,528400,8532,9753541,1875,1337256,14613,10050811
5600166,2789017,793,2207988,5616,116714,559,5541421,533,251900,5439,5476956,1148,511185,6996,5707390
2981835,1443708,1654,1116649,4463,77072,658,2912057,891,350002,6362,2883074,1037,564439,10503,2949965
6124160,3004001,1341,2440212,6698,93919,637,6011968,1108,565099,9759,5942813,1800,772992,11899,6168187
1061705,534128,667,436048,1975,94034,1358,1046670,364,87857,3046,1036490,671,132476,3658,1104271
1923826,959677,778,766663,2410,99693,945,1894327,488,154287,3744,1869467,825,193820,4792,1963692
3030281,1520196,595,1130011,2777,96532,873,2993632,766,334130,6374,2987817,1191,381695,8350,3143991
1355244,671802,432,539116,1981,120331,1248,1338372,415,80071,3185,1312770,746,97418,3403,1388992
8885418,4341123,523,3272054,6029,138130,706,8780160,884,662917,11714,8713792,1637,842704,14941,9267130
2097021,1038007,665,792755,2457,82405,875,2060539,835,194896,5164,2053909,876,381026,7765,2115877
19514849,9474184,1036,7417224,12559,123221,600,19276809,1029,1037271,13785,19009098,2667,2581048,26021,19835913
10386227,5052667,1415,4031592,8480,94483,544,10178084,2246,1084103,16193,10098330,2221,1411939,17543,10551162
760394,389284,655,320873,1737,106573,1616,743105,570,53835,2184,735842,474,77491,2645,774948
11675275,5721796,1248,4717226,9371,95193,417,11501751,710,708532,12028,11350378,2174,1546011,18637,11780017
3949342,1956617,692,1493569,3009,88048,721,3867023,928,556644,6876,3833712,1166,585520,8015,3986639
4176346,2070627,960,1642579,3451,103600,779,4135531,627,274414,6385,4096744,1877,506558,10177,4246155
12794885,6269142,824,5106601,8064,105058,451,12590644,819,705891,10505,12387061,1951,1480430,18271,12964056
1057798,514524,353,414730,1881,111700,1774,1041644,449,44575,2046,1017028,481,117785,4786,1095610
5091517,2468682,1216,1961481,5748,90694,704,4990992,1497,518723,9419,4950181,1624,726470,11777,5190705
879336,442948,748,347878,1737,94036,1308,861933,322,82407,2739,849910,514,108863,3307,895376
6772268,3304462,1721,2639455,6788,91215,619,6664134,1155,649312,10367,6603468,1764,965213,13412,6975218
28635442,14221720,2292,9906070,18881,102456,425,28169961,2333,4877069,45246,28013446,3263,3984260,39546,29527941
3151239,1586950,587,1003345,2384,105348,781,3124563,550,280433,6892,3102049,1254,283360,7183,3337975
624340,308441,331,262852,1220,102413,1622,618184,190,25031,1106,599938,300,64700,2292,645570
8509358,4186543,1645,3184121,7450,123883,709,8282997,2553,681362,12919,8255575,1852,826708,14162,8642274
7512465,3759007,731,2905822,5585,120270,681,7397932,1687,458228,8491,7372433,1681,751044,12849,7738692
1807426,893743,742,734235,2810,78106,840,1778080,458,109844,3455,1755591,906,300152,6818,1782959
5806975,2889783,904,2377935,5709,100128,532,5735703,396,312704,6171,5659485,1207,620947,8262,5895908
581348,296280,695,233231,1535,98307,1977,571005,477,65297,2954,566858,468,61006,3007,578803
3255642,1546590,546,1205749,3649,37911,380,3230810,452,219775,4033,3227457,640,1400958,10574,3263584
