Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
5310584,2635397,3097,2091548,8178,84946,934,5252092,680,476259,13399,5189200,2281,599516,15022,4175262,3180,8.3,0.2,7.5,0.3,2091548,8178,1527328,10448,1180,9,764,8,5344861
2970036,1441525,4150,1079999,8323,58584,899,2902907,1467,528095,15479,2875594,2515,643883,22452,2302345,3741,12.3,0.4,17.8,0.8,1079999,8323,753374,9176,650,14,672,12,2978512
5996231,2932383,4144,2350628,10288,71266,830,5879864,2130,773894,16408,5817852,2620,888570,21761,4746821,5010,10.0,0.3,10.6,0.4,2350628,10288,1621371,13182,876,8,682,6,6010688
990898,499235,2028,402747,4175,67131,1749,975562,1190,168981,7243,964509,2420,140969,9640,794804,1838,7.5,0.5,10.0,1.0,402747,4175,280633,4455,794,25,642,18,998199
1830429,906540,2253,719304,4689,74215,1303,1802049,954,207653,6981,1776166,2053,229923,11823,1419846,2743,6.6,0.4,8.8,0.8,719304,4689,484649,6026,893,15,669,7,1842641
2704642,1365498,2352,989811,6963,74278,1376,2668966,1868,603700,15698,2666662,1598,398027,20092,2116850,3082,14.1,0.6,11.1,0.7,989811,6963,565869,9281,1366,20,952,14,2723322
1316759,647349,1875,515431,4523,89864,1732,1302639,468,145013,8709,1276614,1142,105786,8064,1066757,1963,7.8,0.6,5.3,0.6,515431,4523,369448,5293,1492,29,951,16,1318194
8801624,4284049,2455,3172421,11815,106125,959,8693541,1177,1151158,20359,8626524,2857,884789,24939,6987107,4528,10.8,0.3,7.8,0.3,3172421,11815,2106728,14618,1907,17,1114,8,8821155
2065932,1020996,2983,765183,5603,66508,1259,2032699,1222,398558,13759,2024716,1715,413851,19768,1605996,2877,9.5,0.5,15.7,0.9,765183,5603,519864,7374,794,22,699,12,2082224
19392283,9387534,4174,7196427,16507,91447,742,19134281,2566,2277382,35303,18879810,5820,2821470,46759,15615773,7064,9.9,0.2,11.5,0.3,7196427,16507,3904123,16568,1362,9,1020,6,19465197
9561558,4657156,7691,3670859,14413,69114,665,9360661,4149,1569837,28195,9304553,3703,1627602,29606,7526813,6172,12.7,0.3,13.3,0.3,3670859,14413,2465551,18417,951,7,731,5,9656401
674499,343445,1580,280412,3191,75754,1831,660611,725,64535,4630,651415,600,84895,5668,541407,1446,3.9,0.5,7.8,0.8,280412,3191,187673,3460,684,22,583,12,683932
11536182,5630118,4606,4525066,15956,70653,445,11358640,5507,1398943,26821,11224969,4110,1779032,32237,9136211,6060,11.4,0.2,11.8,0.3,4525066,15956,3095197,18587,963,7,685,4,11544951
3761702,1856245,4017,1432959,7544,65945,798,3677206,1908,693551,12664,3646849,2289,616610,15751,2930683,3323,8.2,0.3,12.7,0.5,1432959,7544,971378,9238,747,11,659,9,3791508
3838957,1902185,3522,1507137,8164,71966,941,3799107,882,651504,16257,3765919,2565,596408,17283,3071969,3505,12.7,0.4,11.0,0.5,1507137,8164,942674,8824,1228,19,816,7,3871859
12709630,6192105,4822,4936030,14212,79150,575,12506000,1361,1271180,24993,12298955,4096,1648184,29243,10273564,5777,9.6,0.2,9.3,0.3,4936030,14212,3461678,15683,968,6,763,6,12742886
1052886,508198,1277,402295,4265,85213,2380,1036743,1079,126184,7290,1012200,827,142188,9018,858137,1846,10.9,0.7,9.2,1.0,402295,4265,244516,5053,1555,29,868,14,1051302
4636312,2253035,4319,1761393,10691,66125,862,4536835,2329,795275,19414,4493865,3196,815755,22461,3675309,4457,12.8,0.4,13.8,0.5,1761393,10691,1210160,11085,838,10,728,8,4679230
816463,411170,2367,318955,3470,72270,2066,798141,664,98886,6890,788226,1027,113760,7599,637449,1815,6.0,0.6,9.2,0.9,318955,3470,216821,3676,777,29,591,16,824082
6356897,3095030,5512,2440663,12796,67011,836,6259546,1957,898561,22130,6195120,3574,1095466,29085,5025830,4883,11.3,0.3,13.4,0.4,2440663,12796,1662768,15433,836,9,697,5,6403353
25257114,12531720,7396,8738664,20291,75506,511,24779450,4528,5875474,56139,24652927,7949,4414481,53320,19123208,10217,8.8,0.2,13.8,0.2,8738664,20291,5555903,27420,1016,6,801,4,25674681
2776469,1397849,2069,880025,4985,75582,1068,2750354,1102,421924,16477,2730176,1935,359242,14693,1987748,2585,9.3,0.4,9.7,0.5,880025,4985,615142,6267,1208,17,796,12,2817222
625960,308172,1012,256922,2727,77453,2123,619886,304,49880,4145,600850,1125,76352,5250,513553,1533,8.1,0.6,8.4,0.9,256922,2727,180847,3870,1155,25,823,20,626431
8024617,3941957,5811,2992732,14604,94262,887,7807416,5241,1020130,21458,7780635,2803,861969,22046,6385834,5154,7.9,0.3,7.7,0.3,2992732,14604,2025240,16608,1326,13,1019,11,8096604
6744496,3358423,3276,2606863,9745,83679,970,6638081,3035,945589,23457,6615922,2965,888718,27270,5342873,4932,10.8,0.3,9.2,0.4,2606863,9745,1644939,11518,1394,11,908,8,6830038
1853973,913160,2808,741940,5724,60523,1202,1823372,786,266161,10271,1799960,1852,326507,13020,1513633,2854,8.9,0.6,13.2,0.7,741940,5724,553429,5834,491,11,571,12,1855364
5691047,2826199,3414,2279532,9375,74705,668,5613402,872,529200,13567,5535803,3152,731479,17834,4511968,4201,8.9,0.2,9.1,0.4,2279532,9375,1566039,12101,1090,9,715,5,5711767
564460,287053,2431,222803,3575,79216,3858,555010,816,82836,5993,551120,851,61577,6480,442306,1965,6.3,0.7,7.2,1.2,222803,3575,155278,3397,858,47,693,24,568158
3722133,1785266,2651,1319448,9440,32220,655,3695636,871,296939,10199,3685731,1892,1659792,21557,2941092,2747,19.0,0.5,41.2,0.6,1319448,9440,929831,9777,260,6,429,9,3706690
4802740,2324413,5329,1844546,11416,67424,947,4720067,2155,673964,18951,4687363,2037,892483,23804,3808975,4580,11.6,0.4,14.9,0.5,1844546,11416,1289217,12212,774,13,687,7,4822023
722718,372916,1425,257330,3380,92339,2831,699272,1868,140660,5748,706860,918,73905,5839,554678,1587,8.8,0.7,6.9,1.0,257330,3380,162312,3867,1346,39,1049,37,731449
6482505,3228514,4431,2356055,12130,72602,940,6378280,1787,1095010,27071,6336449,3861,1203501,38097,5044259,4894,11.1,0.4,14.1,0.6,2356055,12130,1501528,15067,1056,13,850,8,6553255
2937979,1447850,3826,1127621,7837,62656,1213,2885212,1095,492310,14878,2856663,2079,555876,17602,2301244,3020,9.4,0.4,14.9,0.7,1127621,7837,750984,9249,674,10,639,10,2949131
37691912,18750692,4823,12468743,22250,89976,512,37161789,5236,6725604,55430,36941931,7933,6118803,71852,29530797,11281,12.3,0.1,12.4,0.2,12468743,22250,6843369,25886,1740,9,1174,4,38041430
5116796,2569136,4217,1975388,9057,88859,1097,5024885,2530,759619,19088,5002128,3154,674195,21621,4020272,4291,9.3,0.3,9.1,0.4,1975388,9057,1271804,10881,1306,14,900,12,5187582
3580709,1743795,1891,1351643,7309,110730,1516,3522709,1144,308945,10798,3471802,1406,377856,17034,2874766,3020,10.6,0.4,7.9,0.5,1351643,7309,911059,6941,1683,17,1021,12,3590347
907135,439918,939,333192,3426,87135,2494,892132,847,83995,6094,882353,1386,104831,8149,726737,1751,8.9,0.7,8.0,0.8,333192,3426,238560,4816,1231,32,960,22,917092
617996,292283,485,268670,3200,123998,6694,608165,325,42007,4759,584583,305,109363,8006,523073,911,11.4,1.0,15.4,1.7,268670,3200,110625,3425,1874,67,1216,36,632323
19057542,9321149,7263,7106283,31131,73821,736,18752294,3756,3911381,46513,18652057,5175,3173456,53070,15545512,8368,12.4,0.2,12.4,0.3,7106283,31131,4741169,31771,1048,9,949,6,19317568
9815210,4808996,7576,3494542,15336,73315,920,9619740,3609,1882758,36920,9550271,4699,1827743,40709,7601219,8730,12.2,0.3,14.7,0.5,3494542,15336,2256703,18001,1070,9,833,6,9919945
1374810,688600,1358,448563,5562,89653,2042,1326065,2252,94399,6265,1338543,1297,161290,12291,1102147,1954,7.7,0.6,8.6,0.8,448563,5562,254700,5244,1582,48,1308,34,1392313
1584985,794914,2358,580193,6204,65418,1719,1565645,611,259094,11422,1550082,2866,255027,13229,1200681,3114,10.0,0.6,11.6,0.8,580193,6204,398816,6649,920,23,689,11,1595728
12869259,6309308,4694,4737208,12865,85709,747,12688006,1765,1659275,29383,12566914,3774,1879965,34757,10141680,6304,11.0,0.2,11.0,0.3,4737208,12865,3190282,18062,1237,9,859,5,12875255
6516922,3206430,4000,2467111,11107,70821,815,6417644,1247,930829,21794,6318942,3376,1011017,27152,5103069,4944,10.0,0.3,11.7,0.4,2467111,11107,1720062,14287,860,6,707,7,6537334
3062309,1512251,2950,1216765,7072,76038,1045,3017465,552,269490,9670,2963602,1740,378864,12247,2421011,3103,6.0,0.3,8.1,0.4,1216765,7072,880368,8898,829,11,643,8,3074186
2871238,1423188,2574,1101701,5567,77467,1134,2813530,1400,354630,12779,2786855,2238,383467,13367,2225751,3115,7.4,0.4,9.2,0.5,1101701,5567,747079,8180,894,12,709,11,2885905
4369356,2143745,4175,1672134,9367,66779,1049,4284357,1582,618458,14729,4238283,2995,811277,24336,3456598,3847,10.4,0.4,14.7,0.6,1672134,9367,1151479,11521,745,11,626,7,4380415
4574836,2236117,4028,1702030,9725,69722,1048,4473068,1771,784015,17351,4445400,3107,908375,21304,3583570,4367,9.3,0.3,16.1,0.5,1702030,9725,1130694,10222,694,12,747,8,4601893
1328188,651076,1884,552051,5238,72893,1755,1314121,520,140165,6842,1291650,1998,182448,8462,1089885,1856,8.6,0.6,9.3,0.7,552051,5238,391697,5080,950,20,747,15,1329192
5828289,2820212,3160,2134517,9936,105683,1178,5736588,2191,598444,19787,5685412,3670,571887,19719,4642826,4508,8.9,0.3,7.1,0.4,2134517,9936,1437447,9760,1647,17,1153,11,5884563
6587536,3187794,2018,2532067,9349,103250,1378,6507596,1342,276940,14137,6367148,1879,738514,23459,5359592,3718,9.3,0.2,8.3,0.4,2532067,9349,1573279,12931,1655,14,1034,10,6646144
9876187,4848677,3272,3772433,14208,73707,508,9762306,764,1149911,21410,9656260,2885,1693294,28336,7865213,5063,13.1,0.2,12.5,0.3,3772433,14208,2706280,14314,947,7,739,6,9883360
5344861,2656471,3274,2096477,7824,87875,801,5286728,677,467433,12099,5222556,2179,621970,17360,4210464,3741,7.7,0.2,7.6,0.3,2096477,7824,1525449,9656,1176,9,787,9,5379139
2978512,1446634,4222,1080991,8431,60294,1100,2911811,1630,516413,15343,2884215,2100,650524,20706,2310003,3469,11.3,0.5,17.4,0.7,1080991,8431,754663,8918,643,13,689,9,2984926
6010688,2945756,4369,2341074,10807,73106,949,5898968,1584,807414,19295,5831530,3022,920118,22609,4759907,4929,9.4,0.3,11.5,0.4,2341074,10807,1593031,12451,898,9,708,7,6021988
998199,500311,1724,404250,4567,67968,1699,983214,886,179575,6919,974025,1203,144054,8962,801174,1878,7.9,0.7,9.7,0.8,404250,4567,274570,4597,809,25,650,17,1005141
1842641,912496,2903,723800,4514,78949,1832,1814388,1030,207094,7849,1789275,1651,234710,10211,1431287,2282,6.3,0.4,9.1,0.6,723800,4514,484308,5955,909,16,673,10,1855525
2723322,1372750,2376,982352,9598,73824,1806,2686989,2047,588794,20346,2684536,3072,426741,20552,2134503,3210,12.7,0.6,11.9,0.7,982352,9598,552991,9890,1260,26,936,13,2758931
1318194,651060,1847,516454,4150,92679,2182,1303868,471,136922,5971,1279118,1056,112715,8386,1074254,1725,6.9,0.5,5.6,0.6,516454,4150,369070,5978,1513,34,939,15,1320718
8821155,4298542,2384,3167629,9918,107202,939,8712982,1438,1139104,22722,8646606,2810,897376,24537,7022123,4485,10.9,0.3,7.8,0.3,3167629,9918,2060480,13626,1918,13,1135,7,8864590
2082224,1036558,2872,767285,6715,68653,1924,2047242,1765,406184,13699,2042530,1334,439914,17336,1619737,2662,11.2,0.6,16.6,0.9,767285,6715,523004,7065,785,23,729,12,2085538
19465197,9438007,3858,7187938,18167,92816,789,19208419,2296,2195349,32685,18954044,4586,3027342,42152,15705551,6961,9.6,0.2,12.3,0.2,7187938,18167,3851687,18573,1368,10,1058,5,19570261
9656401,4687843,7014,3683364,19202,71787,748,9461018,4189,1544907,30348,9406091,3155,1680963,36728,7616397,7152,11.7,0.4,13.2,0.4,3683364,19202,2449902,20860,943,9,745,7,9752073
683932,343944,1591,283440,2528,80808,2320,669425,795,65448,4530,660473,614,80882,5567,550330,1500,3.1,0.4,7.9,0.9,283440,2528,186254,3477,727,24,626,21,699628
11544951,5641528,4404,4538555,15280,73455,597,11369102,1441,1354431,24533,11234071,3988,1845800,35067,9166035,5623,10.4,0.2,12.0,0.3,4538555,15280,3039713,16684,955,5,692,4,11544225
3791508,1877843,3361,1442731,7338,69167,853,3710368,1361,693545,15014,3678924,1966,633298,18126,2956839,3124,7.5,0.3,12.8,0.5,1442731,7338,966998,7973,756,11,675,8,3814820
3871859,1914116,3146,1516979,8379,73674,1087,3832640,865,602377,15251,3794213,3419,662283,20527,3108463,3794,12.0,0.5,11.9,0.5,1516979,8379,922012,11388,1192,16,840,9,3899353
12742886,6216838,4073,4937333,13801,81003,541,12539757,1068,1264548,23247,12328566,3511,1695996,36138,10323889,5696,9.4,0.2,9.6,0.3,4937333,13801,3431023,18207,980,8,786,5,12763536
1051302,508396,1139,412259,3948,86521,2483,1035117,804,111834,7182,1009941,1191,148819,8909,858706,1755,10.3,0.7,10.6,0.9,412259,3948,249754,5701,1522,36,875,17,1050292
4679230,2274282,4993,1768834,12783,67326,994,4579231,2414,766304,19103,4538298,2536,856938,22008,3715023,4717,11.9,0.5,14.3,0.5,1768834,12783,1223474,12626,823,14,741,8,4723723
824082,410505,2116,323215,3255,73401,1889,805505,1055,95908,5030,794872,1326,110681,6608,644425,1458,5.5,0.6,9.6,1.1,323215,3255,221382,3961,791,25,612,17,833354
6403353,3118951,5288,2467428,12592,68946,830,6302351,2349,922650,18803,6246380,2905,1142299,29429,5082309,5926,10.6,0.3,13.7,0.5,2467428,12592,1660076,14005,832,11,715,7,6456243
25674681,12741162,7835,8850370,21114,78360,569,25197453,4761,5789846,58601,25071125,8108,4628758,63020,19455689,11306,8.5,0.2,14.4,0.3,8850370,21114,5568300,32153,1001,7,813,5,26059203
2817222,1417639,2703,884253,5722,77561,1246,2789648,1314,426064,14912,2771344,2149,374859,19403,2020485,3562,8.0,0.4,10.4,0.6,884253,5722,613499,6550,1177,15,822,12,2855287
626431,308393,1059,257358,2656,80872,2272,620159,306,41209,3238,601236,821,69075,4730,516096,1359,6.4,0.5,6.9,0.8,257358,2656,183452,2866,1174,22,849,22,626011
8096604,3978779,6842,2990650,13887,97107,881,7887164,4700,982861,20253,7854282,3214,905914,25152,6449833,5424,7.6,0.2,8.2,0.3,2990650,13887,2013595,16957,1302,13,1062,13,8185867
6830038,3408061,4042,2632621,9876,86290,914,6716822,3208,952630,19050,6687073,3909,929258,23388,5434028,4677,10.3,0.3,9.4,0.3,2632621,9876,1653712,13459,1378,12,930,9,6897012
1855364,914474,3200,735408,6147,64488,1847,1826485,271,272287,10237,1802655,2209,334885,13958,1513146,2776,8.9,0.5,13.7,0.7,735408,6147,531392,6308,508,14,599,10,1855413
5711767,2835132,3485,2275352,8388,77531,742,5634063,895,506674,13395,5554349,4117,725797,20946,4543816,3453,8.2,0.3,8.8,0.3,2275352,8388,1543908,11604,1086,9,739,5,5726398
568158,289416,1930,222539,3310,79554,2909,558832,750,85831,6032,554314,926,62629,5598,446044,1592,5.1,0.7,7.9,1.2,222539,3310,157223,3270,894,36,759,31,576412
3706690,1770224,2797,1256151,8804,32063,705,3680339,638,280641,12928,3672090,1830,1673610,27123,2942799,3081,18.5,0.5,41.7,0.8,1256151,8804,876741,9559,271,7,442,10,3667084
4822023,2336291,3772,1845169,11483,68525,778,4741698,1677,632499,16621,4706978,2160,892564,20244,3825109,3670,10.0,0.4,14.7,0.4,1845169,11483,1268565,12217,725,12,689,8,4833722
731449,381094,1702,251651,2883,95924,2726,708946,1546,145288,7233,715608,613,72400,5190,564238,1510,7.8,0.7,7.5,0.8,251651,2883,159427,3595,1364,40,1120,34,735132
6553255,3260687,2638,2392168,11611,74275,834,6443654,1631,1130959,26823,6401273,3092,1194506,25758,5110763,4329,9.8,0.2,13.6,0.4,2392168,11611,1496650,13898,969,13,888,8,6626624
2949131,1449265,3205,1143859,7351,64235,1074,2896297,1039,476310,10579,2865098,2160,568065,16759,2312234,3954,8.4,0.4,14.6,0.6,1143859,7351,757722,8214,647,10,640,8,2959373
38041430,18917773,4374,12552658,18433,91046,430,37524274,5678,6709586,51970,37303266,7131,6325319,64334,29884983,9480,11.4,0.1,12.9,0.2,12552658,18433,6781817,25470,1682,7,1200,4,38332521
5187582,2601370,3232,1996088,8553,90152,1046,5094766,2656,751244,19632,5069071,2557,694842,20406,4085464,3556,7.8,0.3,9.3,0.4,1996088,8553,1278158,11129,1281,11,934,11,5268367
3590347,1749806,1927,1357812,6453,114025,2169,3534619,1149,321972,11233,3484178,1411,372390,14270,2893530,2554,9.7,0.4,7.9,0.5,1357812,6453,908452,7756,1668,18,1019,13,3596080
917092,444691,881,340308,3122,86132,1979,902915,849,79894,5924,890738,1221,107307,7877,734481,1457,8.8,0.8,8.2,0.9,340308,3122,241050,3609,1215,30,960,19,925749
632323,299036,318,266662,3138,129347,6674,621380,727,36854,3393,598151,630,108732,7746,533647,871,10.3,1.0,13.9,1.3,266662,3138,110681,3549,1925,54,1235,29,646449
19317568,9441001,6373,7197943,25102,75292,582,19011070,3625,3815840,36143,18912479,5600,3238581,49032,15784363,7462,11.5,0.2,12.6,0.3,7197943,25102,4724428,21345,992,8,954,5,19552860
9919945,4851053,6551,3532908,15691,75450,679,9719411,3607,1792319,29647,9652596,3256,1848533,37552,7692523,6384,11.0,0.2,15.0,0.4,3532908,15691,2248702,19411,1039,9,837,5,9992167
1392313,701196,1123,447748,4282,92346,1682,1341708,2427,92338,5916,1356822,1094,157243,9661,1122846,1678,7.1,0.4,8.6,0.7,447748,4282,254770,4107,1646,51,1379,29,1404054
1595728,798712,2934,583106,5317,67369,1625,1575682,687,254743,9166,1565511,1631,248494,13813,1216830,2078,8.0,0.6,11.7,0.9,583106,5317,398671,5979,913,19,702,14,1612136
12875255,6316653,4276,4770194,13140,88826,686,12698371,1130,1622465,21898,12573676,4182,1850562,32138,10169058,5273,10.2,0.2,10.9,0.2,4770194,13140,3177104,16645,1215,8,868,5,12882135
6537334,3217145,3678,2480077,10833,72072,633,6437142,986,919866,19760,6342423,3178,990325,21187,5126773,5171,8.8,0.3,11.3,0.3,2480077,10833,1720780,14241,834,6,715,6,6570902
3074186,1524107,3514,1227048,6132,77465,867,3028864,500,254275,9879,2974225,2122,377484,13405,2430288,3398,5.3,0.2,8.8,0.5,1227048,6132,882584,7833,817,10,661,8,3090416
2885905,1434617,2912,1113911,5555,79648,1230,2825416,2092,355564,9981,2802207,2002,391734,12565,2242491,2982,6.5,0.3,9.3,0.5,1113911,5555,739191,7686,892,12,711,9,2893957
4380415,2154939,3541,1707004,8109,67293,771,4292718,1736,595460,14279,4247103,3119,823197,22937,3470977,3017,9.3,0.3,14.8,0.5,1707004,8109,1144309,10967,732,10,636,7,4395295
4601893,2248888,4274,1719473,9205,71928,1022,4498884,1484,759627,16436,4471142,2830,891981,23215,3603962,3513,8.8,0.3,15.5,0.6,1719473,9205,1130134,10390,689,12,747,9,4625470
1329192,650714,1896,554543,4451,73506,1407,1315703,427,134709,6886,1293457,1275,189786,9666,1096245,1715,7.6,0.4,9.8,0.7,554543,4451,396014,5199,933,21,744,13,1328302
5884563,2849291,2636,2157717,7667,108034,959,5788196,2269,597554,15822,5744445,2780,590803,19639,4697087,3185,8.3,0.2,7.3,0.4,2157717,7667,1433937,10091,1589,15,1170,10,5928814
6646144,3219753,2324,2522394,9088,107088,1171,6566851,897,254295,11033,6414762,2601,762645,18273,5416163,3572,8.5,0.2,8.5,0.3,2522394,9088,1570055,10932,1621,15,1036,9,6692824
9883360,4851429,3886,3819068,10789,75349,529,9772550,789,1114321,15031,9663760,3870,1685178,30444,7897753,4903,11.3,0.2,12.6,0.3,3819068,10789,2713964,15597,902,7,748,5,9895622
5379139,2670741,3022,2111943,6274,91409,909,5319783,751,424662,11361,5257443,1790,598371,17622,4242762,3554,6.3,0.2,7.6,0.3,2111943,6274,1508810,9302,1130,10,813,9,5420380
2984926,1442072,3816,1090521,7826,61606,1211,2918405,1292,497510,10565,2890890,1973,698252,22688,2320405,3063,11.3,0.5,19.2,0.8,1090521,7826,743611,9469,625,12,666,11,2991207
6021988,2953591,4454,2359135,11280,73351,818,5908769,1421,801380,18914,5838008,3872,947792,20935,4776269,4782,8.6,0.3,11.7,0.4,2359135,11280,1591686,12609,861,9,706,7,6044171
1005141,503458,1842,408938,3977,73329,2007,989823,845,178412,5944,980594,1227,152199,8004,809850,1787,7.2,0.6,10.2,0.8,408938,3977,274196,4635,804,22,681,13,1015165
1855525,923099,1803,733570,4667,77606,1039,1826832,904,205607,8316,1800904,1635,233973,10768,1442595,2159,5.3,0.3,9.1,0.6,733570,4667,486642,6333,918,15,692,9,1868516
