Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Population
4785298,2322243,4446,1815152,10938,65730,880,4702769,1669,686592,17082,4666970,2567,888290,22673,3785555,4340,11.8,0.4,14.7,0.5,1815152,10938,1272846,12811,772,11,667,9,4802740
713985,372436,1772,254610,2804,93329,2957,689249,1872,136840,7333,696822,1573,69279,6120,546981,1582,9.6,0.7,7.2,0.9,254610,2804,162785,3878,1363,48,981,21,722718
6413737,3190700,2757,2334050,12895,71580,930,6310174,2001,1065132,21655,6272686,3673,1094249,33633,4963740,4639,11.8,0.4,12.5,0.5,2334050,12895,1522938,13309,1119,12,844,9,6482505
2921606,1430837,4306,1114902,8104,61359,1099,2867611,1672,500613,15221,2839798,2045,534898,16599,2290670,4069,9.6,0.4,14.1,0.6,1114902,8104,751568,9191,657,13,638,8,2937979
37349363,18570505,5032,12406475,16820,88178,521,36815569,4634,6824913,55568,36593372,8519,5783043,74336,29159527,10611,12.8,0.1,11.8,0.2,12406475,16820,6903175,27402,1790,8,1163,5,37691912
5049071,2531362,3639,1960585,9151,86004,1116,4956873,2211,789109,22458,4934178,2454,659786,23009,3955676,4325,9.9,0.3,9.4,0.4,1960585,9151,1292792,11248,1327,12,863,8,5116796
3577073,1738918,1627,1358809,7109,108218,1616,3519913,989,320133,11328,3466977,2302,350145,15842,2862777,2581,10.5,0.4,7.2,0.5,1358809,7109,923617,8286,1704,15,992,12,3580709
899769,436608,1451,328765,4178,84491,2420,885232,820,85801,7028,874321,1107,103427,8098,716786,1359,9.3,0.7,8.1,1.0,328765,4178,239884,4113,1242,34,952,22,907135
604453,285729,795,252388,3730,121027,5305,594282,401,45164,3871,570953,564,109423,7577,515434,1028,12.4,1.1,14.1,1.6,252388,3730,107193,3924,1869,68,1198,39,617996
18843326,9212548,5887,7035068,25739,72079,660,18534081,4456,3941060,49984,18436788,6230,3047343,41603,15327982,7856,13.3,0.2,12.0,0.2,7035068,25739,4794130,25332,1087,7,947,5,19057542
9712587,4742754,6636,3482420,15694,72446,563,9519836,3059,1875566,34875,9446906,4877,1688932,36955,7497805,6376,12.6,0.3,13.7,0.4,3482420,15694,2304165,17073,1106,8,819,7,9815210
1363621,684087,1583,445812,4223,90072,1796,1315677,2309,103764,6173,1326373,1510,142185,9627,1093645,1814,8.1,0.6,7.4,0.8,445812,4223,258533,5422,1618,48,1291,32,1374810
1571450,787506,2645,576709,5739,64759,1241,1551635,954,275404,10722,1541860,1275,242272,10788,1187623,2092,10.0,0.6,11.6,0.7,576709,5739,401532,6302,923,19,683,13,1584985
12843166,6294434,5283,4752857,13579,84494,684,12673245,2432,1745556,26502,12543457,3191,1731711,31915,10084990,6353,11.4,0.2,10.1,0.2,4752857,13579,3219338,16289,1254,9,848,5,12869259
6490621,3197124,3805,2470905,11185,68429,588,6391470,950,947920,19803,6294417,3609,962775,25003,5070852,4849,10.8,0.3,11.0,0.4,2470905,11185,1736751,11947,867,7,683,6,6516922
3049883,1505879,3896,1223439,6610,73114,919,3004885,571,279811,9754,2950251,2192,370507,13924,2409078,3112,6.7,0.3,8.2,0.4,1223439,6610,885284,8254,819,12,629,9,3062309
2859169,1417134,3693,1101658,6952,75190,1123,2804461,1848,389446,12132,2775355,2167,377530,15414,2213226,3704,7.9,0.4,9.5,0.6,1101658,6952,749907,8746,882,15,682,8,2871238
4346266,2140493,4037,1684348,9801,64281,868,4242714,4353,647041,15841,4215643,2986,800226,20902,3437562,4649,11.2,0.4,14.5,0.5,1684348,9801,1156292,12036,741,10,613,7,4369356
4544228,2227014,4151,1689822,9615,69092,1024,4440314,1830,790987,18377,4413890,3449,825144,21101,3550438,3921,10.1,0.4,14.5,0.5,1689822,9615,1141504,11499,705,14,736,10,4574836
1327567,648889,1474,545417,5576,70473,1390,1313037,991,133065,6281,1293012,1146,167242,7702,1088605,1873,8.3,0.5,8.8,0.6,545417,5576,396395,5449,949,18,707,16,1328188
5785982,2799597,3400,2127439,8728,104164,1218,5687998,2852,640861,16506,5643821,3530,557140,21050,4596659,3889,8.8,0.3,6.6,0.4,2127439,8728,1426267,12068,1672,15,1131,10,5828289
6557254,3170167,2392,2520419,10488,100712,1111,6478067,1529,285717,13613,6333611,2630,725143,21471,5313877,4329,10.2,0.2,8.2,0.4,2520419,10488,1568382,10691,1650,12,1009,11,6587536
9877574,4848760,3767,3806621,12287,70883,460,9763683,1209,1207384,20391,9656449,3934,1618257,30260,7833379,4426,15.1,0.2,12.1,0.3,3806621,12287,2769474,14635,969,7,730,5,9876187
