Estimate Total Population,Male Estimate Total,Male Margin od Error Total,Estimate Total Income,Estimate Mean income (dollars),Margin of Error Mean income (dollars),Estimate Margin of Error Total,Estimate Total Insured,Margin of Error Total Insured,Estimate Total Uninsured,Margin of Error Total Uninsured,Estimate Total Poverty,Margin of Error Total Poverty,Estimate Below Poverty,Margin of Error Below Poverty,Estimate Number Population 16 years and over,Margin of Error Number Population 16 years and over,Estimate Percent Unemployed,Margin of Error Percent Unemployed,Estimate PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Margin of Error PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Estimate Occupied housing units,Margin of Error Occupied housing units,Estimate Owner-occupied housing units,Margin of Error Owner-occupied housing units,Estimate Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Owner-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Margin of Error Renter-occupied housing units MONTHLY HOUSING COSTS (Median dollars),Estimate Number Women 15 to 50 years,Margin of Error Number Women 15 to 50 years,"Estimate Women with births (Rate per 1,000 women)","Margin of Error Women with births (Rate per 1,000 women)","Estimate Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)","Margin of Error Percent of women who had a birth in the past 12 months who were unmarried (Rate per 1,000 women)",Estimate Male Mean usual hrs worked,Margin of Error Male Mean usual hrs worked,Estimate Female Mean usual hrs worked,Margin of Error Female Mean usual hrs worked,Estimate Total Education,Margin of Error Total Education,Estimate Less than high school graduate,Margin of Error Less than high school graduate,Crime rate,Population
0.46410324299455663,0.22522327916075616,0.0004311963473024666,0.17604294021564706,0.0010608244819600493,0.006374839385558059,8.534700531402847e-05,0.4560991486746004,0.0001618683543967199,0.066589285309738,0.0016567017554252664,0.4526271743072857,0.0002489610939103535,0.08615101289817995,0.002198946194869281,0.36714293488812166,0.0004209159125714586,1.1444257530744728e-06,3.87940933245584e-08,1.425682929677521e-06,4.8492616655698e-08,0.17604294021564706,0.0010608244819600493,0.12344726627947714,0.001242477823952294,7.487260011639771e-05,1.0668375664253558e-06,6.468915061870112e-05,8.72867099802564e-07,0.006424592810246804,0.00040985959597395947,5.431173065438176e-06,3.87940933245584e-07,4.36433549901282e-06,3.2974979325874637e-07,3.995791612429515e-06,1.93970466622792e-08,3.472071352547976e-06,1.93970466622792e-08,0.30662085180387794,0.0005002498334201806,0.05478463065200812,0.001207175199026946,3.721323402158264e-05,4802740
0.4706188349495508,0.2454889058079244,0.0011680029349784716,0.16782462035827803,0.0018482394072684167,0.06151723810305067,0.001949088419148612,0.45431425221838406,0.0012339173218282725,0.09019724696526753,0.004833501987695899,0.45930594873451946,0.001036833305147368,0.045664828065673554,0.004033960475207814,0.36053917233490934,0.0010427655999638498,6.3277811375808845e-06,4.6140070794860613e-07,4.7458358531856636e-06,5.932294816482079e-07,0.16782462035827803,0.0018482394072684167,0.10729873463344837,0.002556159922035278,0.000898413092762786,3.1638905687904425e-05,0.0006466201349965466,1.3842021238458185e-05,0.008235343493014122,0.0011772309491374438,4.614007079486062e-05,6.591438684980088e-06,2.102668940508648e-05,4.086691984687654e-06,3.0056960403509204e-05,3.954863210988053e-07,2.465198068182553e-05,4.6140070794860613e-07,0.29699506683622734,0.001133068309948077,0.026613592834475605,0.002169242471226947,0.00041875409965678496,722718
0.46748147023156417,0.23256225303093217,0.00020095092976659667,0.17012314748702392,0.0009398847440479739,0.005217289645517951,6.778540612366156e-05,0.45993301860319347,0.0001458479544660718,0.07763484429602997,0.001578379537212786,0.4572006107486087,0.00026771591042173,0.0797571106079683,0.0024514264130721603,0.3617947653680256,0.0003381252677501784,8.600728949023724e-07,2.9155013386521098e-08,9.110941683287843e-07,3.644376673315137e-08,0.17012314748702392,0.0009398847440479739,0.11100319444210417,0.0009700601829030233,8.156114994879278e-05,8.74650401595633e-07,6.151707824555951e-05,6.559878011967247e-07,0.00628363426012996,0.0003612306158589964,4.081701874112954e-06,2.1866260039890824e-07,3.0102551321583033e-06,2.3324010709216879e-07,2.9300788453453704e-06,1.4577506693260549e-08,2.631239958133529e-06,1.4577506693260549e-08,0.3022469625016586,0.0002256598036116733,0.04339366593669681,0.0010960098407327944,3.0146283841662816e-05,6482505
0.4648438187740299,0.22765415156019556,0.0006851086298566518,0.17738712996851852,0.0012893916247929183,0.00976255931708646,0.00017485703302658157,0.45625291295212794,0.00026602453068284295,0.07965032199684811,0.002421746041581072,0.45182770944023687,0.0003253709122287164,0.08510525682607137,0.002640993531581645,0.3644583802029114,0.0006474006072658421,1.5274135732986198e-06,6.364223222077583e-08,2.243388685782348e-06,9.546334833116373e-08,0.17738712996851852,0.0012893916247929183,0.11957866296426012,0.0014623393908528765,0.00010453236642262429,2.0683725471752143e-06,0.00010150936039213744,1.2728446444155165e-06,0.005941638800131631,0.0005085014354439989,8.591701349804736e-06,7.955279027596979e-07,6.221028199580837e-06,7.159751124837281e-07,6.602881592905492e-06,4.773167416558187e-08,5.759622015980213e-06,3.1821116110387916e-08,0.30539075163416496,0.0008510557503723247,0.05209498560663826,0.0013996517921154123,8.010965980790157e-05,2937979
0.4697133361863979,0.23354652282064844,6.328347575004034e-05,0.15602640298211085,0.00021153180884651802,0.0011089448181015615,6.552204067124606e-06,0.46300023212150976,5.827814519588374e-05,0.08583152152854434,0.0006988346940537047,0.4602058365608516,0.00010713671103231194,0.07272874830126005,0.0009348649549592605,0.36671625989410706,0.0001334461369601904,1.6097545500805177e-07,1.2576207422504044e-09,1.483992475855477e-07,2.515241484500809e-09,0.15602640298211085,0.00021153180884651802,0.08681576067384435,0.0003446132357914558,2.2511411286282238e-05,1.0060965938003235e-07,1.4626129232372203e-05,6.288103711252022e-08,0.006390134482070797,0.00016122697915650183,6.665389933927143e-07,1.2576207422504044e-08,4.2633343162288705e-07,1.5091448907004852e-08,5.005330554156608e-07,1.2576207422504044e-09,4.451977427566431e-07,1.2576207422504044e-09,0.3030513855015644,7.202393990868066e-05,0.058479892715355544,0.0004942197992895638,5.528500782932777e-06,37691912
0.4646283626994168,0.2329423732523312,0.00033487004081803913,0.1804180211534035,0.0008420983081961738,0.007914306949852883,0.00010269716008599387,0.4561440681065777,0.00020346184672950937,0.07261581836765102,0.002066642312913307,0.45405561645052783,0.0002258233251353306,0.06071518679614476,0.002117346735142144,0.3640113722404336,0.0003979975066056662,9.11023194311236e-07,2.7606763463976846e-08,8.650119218712745e-07,3.680901795196913e-08,0.1804180211534035,0.0008420983081961738,0.11896600984040519,0.001035069584809372,0.0001221139170556576,1.104270538559074e-06,7.94154562313734e-05,7.361803590393826e-07,0.006334647944444128,0.0004056353778306998,5.061239968395755e-06,3.680901795196913e-07,2.7422718374217002e-06,2.760676346397685e-07,3.782126594564828e-06,1.8404508975984565e-08,3.285204852213245e-06,1.8404508975984565e-08,0.30625517037490274,0.00035134207635154535,0.03160348663320166,0.0009022810525476433,2.9787697777631016e-05,5116796
0.4648588837826941,0.2259812647015129,0.00021143694968328667,0.1765841611322662,0.0009238508145657559,0.01406348114371599,0.00021000744356987783,0.45743065019701695,0.000128525595105575,0.041602916418536945,0.0014721313866086487,0.4505513469588888,0.00029915664300610075,0.045503128916321085,0.0020587487135111417,0.37203247480237883,0.0003354141162461972,1.36452856279933e-06,5.198204048759353e-08,9.356767287766834e-07,6.497755060949191e-08,0.1765841611322662,0.0009238508145657559,0.12002874072257418,0.0010768079687005,0.00022144349247714843,1.949326518284757e-06,0.00012891546040923193,1.5594612146278058e-06,0.005458374161399758,0.00042430340547998217,6.237844858511223e-06,5.198204048759353e-07,4.158563239007482e-06,5.198204048759353e-07,5.250186089246946e-06,2.5991020243796766e-08,4.522437522420636e-06,2.5991020243796766e-08,0.3163604891707735,0.00021156690478450565,0.035998602678468265,0.0013170949508544008,3.664733854375344e-05,3580709
0.46602522314105504,0.2261361978743097,0.0007515291133365018,0.17028013021783253,0.002163948060316957,0.043761162174303495,0.0012534117534626701,0.4584959476616803,0.00042470976770222704,0.044439661925144855,0.003640073472452746,0.4528447180575352,0.0005733581863980065,0.05356885017577834,0.004194267925430042,0.37125123847830305,0.0007038787491552762,4.816830292232575e-06,3.625571187701938e-07,4.195303802912242e-06,5.179387411002769e-07,0.17028013021783253,0.002163948060316957,0.12424521697009881,0.002130282042145439,0.0006432799164465438,1.7609917197409413e-05,0.0004930776815274636,1.1394652304206091e-05,0.0051286294143749415,0.0009058748581843842,2.330724334951246e-05,4.143509928802215e-06,2.2012396496761766e-05,3.832746684142049e-06,2.0821137392231133e-05,2.0717549644011075e-07,1.8697588553719996e-05,2.0717549644011075e-07,0.3111667189394832,0.0005883784098899145,0.03839013742909362,0.0026161085812974987,0.00032283121732780255,907135
0.4587457079321035,0.21685218268704434,0.0006033601252802489,0.19154824565941064,0.002830859455717394,0.0918526614871606,0.004026195552970718,0.4510264930462854,0.0003043363650784652,0.03427692666434863,0.0029378704968048347,0.4333210988794138,0.0004280441643497615,0.0830458804887304,0.00575051530723075,0.3911853117153457,0.0007801939733183596,9.41090006726426e-06,8.348379091927973e-07,1.0701104108744037e-05,1.2143096860986143e-06,0.19154824565941064,0.002830859455717394,0.08135343636373046,0.0029780945051568514,0.0014184655020739437,5.1608161659191104e-05,0.0009092143774663374,2.9598798598653722e-05,0.006904868452578245,0.0012401137669282097,3.718823413677006e-05,6.830491984304705e-06,4.045169141816008e-05,6.754597628923542e-06,3.14961574831828e-05,3.794717769058169e-07,2.9447009887891393e-05,3.794717769058169e-07,0.3163458878739805,0.0005024206326233016,0.039762570671299124,0.002835413117040264,0.0010069663071972758,617996
0.45976035072127236,0.2247779558405218,0.00014363755022314692,0.17164938562480955,0.0006280086470517375,0.0017586633230056408,1.6103411439999487e-05,0.4522150484928441,0.00010872242632823895,0.09615834952988542,0.0012195650263892943,0.449841186054614,0.00015200644435029817,0.07435245170879144,0.0010150761002095433,0.3739890919559185,0.00019167939435247872,3.245081396242321e-07,4.879821648484693e-09,2.9278929890908156e-07,4.879821648484693e-09,0.17164938562480955,0.0006280086470517375,0.1169724967982496,0.0006180782099970712,2.6521830659514306e-05,1.7079375769696426e-07,2.310595550557502e-05,1.2199554121211733e-07,0.0051661939819260165,0.00026707263882156724,1.1711571956363263e-06,4.879821648484693e-08,9.881638838181503e-07,5.1238127309089273e-08,9.808441513454234e-07,2.4399108242423464e-09,8.856876291999716e-07,2.4399108242423464e-09,0.31907150592654704,0.00018484764404460015,0.04633515090688252,0.0006006816458202233,1.320723729162382e-05,19057542
